Key,English
drinkNukaCola,Nuka Cola
drinkNukaColaDesc,The wastelander's favorite beverage! Helps recover stamina quicker and restore a small amount of max health and stamina. The small trace of radiation also allow for a slight movement speed boost for a limited time!
drinkNukaCherry,Nuka Cherry
drinkNukaCherryDesc,Mmm...Nuka Cherry! Energizes you and helps you hit harder. Also restore a decent amount of max health and stamina. The traces of radiation also allow for a moderate movement speed boost for a limited time!
drinkNukaQuantum,Nuka Quantum
drinkNukaQuantumDesc,Nuka Quantum is totally safe! Boost yourself for a limited time but beware possible side effects!
drinkNukaQuartz,Nuka Quartz
drinkNukaQuartzDesc,Doesn't look too good but beggars can't be choosers! Damage resistance is increased and health will regenerate but it does make you queasy!
drinkSunsetSarsaparilla,Sunset Sarsaparilla
drinkSunsetSarsaparillaDesc,Probably not the freshest but it's still better than water. Helps recover stamina quicker and restore a small amount of health and stamina.
drinkSunsetSarsaparillaStar,Sunset Sarsaparilla
drinkSunsetSarsaparillaStarDesc,Probably not the freshest but it's still better than water. Helps recover stamina quicker and restore a small amount of health and stamina.
drinkJarSnowberryJuice,Snowberry Juice
drinkJarSnowberryJuiceDesc,"Quench your thirst with this tasty drink!"
drinkSnowberrySmoothie,Snowberry Smoothie
drinkSnowberrySmoothieDesc,"This drink will keep you cool in the worst heat."
resourceNukaBaseIngredients,Nuka Base Ingredients
resourceNukaBaseIngredientsDesc,Base ingredients used to brew different Nuka flavors.
bookNukaRecipes,Nuka Recipes
bookNukaRecipesDesc,This will teach you how to brew multiple flavors of Nuka Cola!
thrownNukaNade,Nuka Nade (Ammo)
thrownNukaNadeDesc,Too scared to drink that Quantum? May as well make a boom can out of it then!
bookWorkingStiffWeekly,Working Stiff Weekly
bookWorkingStiffWeeklyDesc,"This will teach you how to forge the parts needed to craft most weapons and tools."
foodRawScorpionMeat,Scorpion Meat
foodRawScorpionMeatDesc,A raw piece of mutant scorpion. Probably not a good idea to eat this.
foodRawScorpFlyMeat,Scorpionfly Meat
foodRawScorpFlyMeatDesc,A raw hunk of mutant scorpionfly. Probably not a good idea to eat this.
foodRawMosqMeat,Mosquito Meat
foodRawMosqMeatDesc,A raw cut of mutant mosquito. Probably not a good idea to eat this.
foodScorpionEgg,Scorpion Egg
foodScorpionEggDesc,An intact scorpion egg.
foodRawHunterMeat,Hunter Meat
foodRawHunterMeatDesc,A chunk of raw hunter meat. Probably not a good idea to eat this.
foodHunterEgg,Hunter Egg
foodHunterEggDesc,Small egg from a hunter.
foodRawMutantHoundMeat,Hound Meat
foodRawMutantHoundMeatDesc,A piece of raw mutant hound meat. Probably not a good idea to eat this.
resourceVenomGland,Venom Gland
resourceVenomGlandDesc,A venom gland from a wild creature.
resourceMosqProboscis,Mosquito Proboscis
resourceMosqProboscisDesc,A proboscis from a wild creature.
resourceBloodSample,Blood Sample
resourceBloodSampleDesc,A usable blood sample from a wild creature.
bookWastelandDelicacies,Wasteland Delicacies
bookWastelandDelicaciesDesc,"This will teach you how to use some of the more...unappetizing forms of food from out in the wasteland to make some of the finest roadkill you'll ever eat!"
foodHoundBits,Hound Bits
foodHoundBitsDesc,"Must be really hard up, huh? Seems like it's still growling..."
foodScorpionBits,Scorpion Bits
foodScorpionBitsDesc,"Cooked almost beyond recognition, these scorpions bits will keep you from starving."
foodScorpflyBits,Scorpionfly Bits
foodScorpflyBitsDesc,"Burnt, bland, rough cuts of scorpionfly."
foodHunterBits,Hunter Bits
foodHunterBitsDesc,"Some rough pieces of hunter meat. Not that healthy, but it'll stop those stomach growls."
foodMosqBits,Mosquito Bits
foodMosqBitsDesc,"Some chunks of mutant mosquito. Just don't look at it before you eat it."
foodScorpionEggBoiled,Boiled Scorpion Egg
foodScorpionEggBoiledDesc,"Just a simple, boiled scorpion egg. It's better than nothing."
foodHunterEggBoiled,Boiled Hunter Egg
foodHunterEggBoiledDesc,"Could've probably made something better, but it'll keep you alive...ish."
foodGrilledHoundChops,Grilled Hound Chops
foodGrilledHoundChopsDesc,"Probably not your preferred food, but who's left to judge?"
foodHunterScrambledEgg,Scrambled Hunter Eggs
foodHunterScrambledEggDesc,"A couple hunter eggs, nice and scrambled."
foodScorpionOmelette,Scorpion Omelette
foodScorpionOmeletteDesc,"A fluffy omelette made with scorpion eggs and some fresh mushrooms."
foodScorpflyFilet,Scorpionfly Filet
foodScorpflyFiletDesc,"A better than expected filet of cooked scorpionfly."
foodHunterSteak,Hunter Steak
foodHunterSteakDesc,"A nice cut of hunter meat, with the radiation grilled out."
foodScorpionFilet,Scorpion Filet
foodScorpionFiletDesc,"A premuim cut of scorpion meat, cooked to perfection."
foodMosqSteak,Mosquito Steak
foodMosqSteakDesc,"Don't mind how it looks, it's actually not bad."
foodFullCourse,Full Course Meal
foodFullCourseDesc,"Cooked scorpion and hunter steaks, with their eggs on the side. This is the ultimate meal!"
foodSuperHoboStew,Super Hobo Stew
foodSuperHoboStewDesc,"Hobo stew, but better!"
foodSuperVegetableStew,Super Vegetable Stew
foodSuperVegetableStewDesc,"Vegetable stew, now with genetically modified goodness!"
foodSnowberryPie,Snowberry Pie
foodSnowberryPieDesc,"Grandma would be proud of this delicacy!"

VaultDoorKey,Overseer Office Key
VaultDoorKeyDesc,Keycard needed to unlock the Overseer's hidden exit door. Right click on the door with this keycard equipped to unlock it. If the door is damaged it will have to be repaired for the key to work.
VaultDoorKey2,Containment Room Key
VaultDoorKey2Desc,Keycard needed to unlock the Containment Room door. Right click on the door with this keycard equipped to unlock it. If the door is damaged it will have to be repaired for the key to work.
OVDeskKey,Overseer Desk Key
